Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,600000,540000,60000,60000,15000
1,0,148144,83857,60287,4000,0,0,0,12.00,618000,456143,161857,161857,79287
2,0,148144,94492,49652,4000,0,0,0,12.00,636540,361651,274889,274889,132939
3,0,148144,106476,37668,4000,0,0,0,12.00,655636,255176,400461,400461,174608
4,0,148144,119980,24164,4000,0,0,0,12.00,675305,135196,540109,540109,202772
5,0,148144,135196,8948,4000,0,0,0,12.00,695564,0,695564,695564,215720
6,0,27298,0,0,4000,319,23298,23617,,716431,0,716431,740048,219720
7,23617,27828,0,0,4000,1034,23828,48479,,737924,0,737924,786403,223720
8,48479,28368,0,0,4000,1788,24368,74635,,760062,0,760062,834697,227720
