Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,75000,75000,
1,75000,148144,24000,800,3937,123344,202281,202281,24800
2,202281,148144,24480,800,7749,122864,332894,332894,50080
3,332894,148144,24970,800,11660,122374,466929,466929,75850
4,466929,148144,25469,800,15675,121875,604478,604478,102119
5,604478,148144,25978,800,19794,121366,745638,745638,128897
6,745638,27298,26498,800,22369,0,768007,768007,156195
7,768007,27828,27028,800,23040,0,791048,791048,184023
8,791048,28368,27568,800,23731,0,814779,814779,212391
